wikipedia_movie_id,freebase_movie_id,movie_name,movie_release_date,box_office_revenue,runtime,languages,countries,genres,imdb_id,averageRating,numVotes,lead_actor_1,lead_actor_2,adjusted_box_office
682275,/m/032kr9,the preacher's wife,1996-12-13,48102795.0,124.0,['English'],['United States of America'],"['Family Drama', 'Heavenly Comedy', 'Romantic fantasy', 'Fantasy', 'Drama', 'Romantic drama', 'Family Film', 'Romance Film']",tt0117372,5.7,13957.0,Denzel Washington,Whitney Houston,89635084.00357379
277713,/m/01pk7l,the tuxedo,2002-09-27,104391623.0,99.0,['English'],['United States of America'],"['Science Fiction', 'Action Comedy', 'Action/Adventure', 'Martial Arts Film', 'Comedy', 'Action']",tt0290095,5.4,89897.0,Jackie Chan,Jennifer Love Hewitt,169053731.51694357
441280,/m/028xm3,dungeons & dragons,2000-12-08,33807409.0,107.0,['English'],['United States of America'],"['Action/Adventure', 'Sword and sorcery', 'Mockumentary', 'Fantasy', 'Sword and sorcery films']",tt0190374,3.7,36702.0,Justin Whalin,Jeremy Irons,57519925.75325764
2501824,/m/07j9t1,the scout,1994-09-30,2694234.0,101.0,['English'],['United States of America'],"['Sports', 'Comedy-drama', 'Comedy']",tt0111094,5.4,7057.0,Albert Brooks,Brendan Fraser,5310686.915159446
22558707,/m/05zz_pf,tormented,2009-05-22,1362653.0,91.0,['English'],['United Kingdom'],"['Black comedy', 'Horror', 'Comedy', 'Teen']",tt1100053,5.1,6590.0,Alex Pettyfer,April Pearson,1917395.3677386753
20479465,/m/04z_5x2,oye lucky! lucky oye!,2008-11-28,1700000.0,135.0,['Hindi'],['India'],"['Bollywood', 'Musical', 'Comedy', 'World cinema']",tt1292703,7.7,18377.0,Abhay Deol,Paresh Rawal,2432743.2231708257
2045991,/m/06h9xs,now and then,1995-10-20,37591674.0,102.0,['English'],['United States of America'],"['Crime Fiction', 'Ensemble Film', 'Indie', 'Comedy-drama', 'Period piece', 'Coming of age', 'Comedy', 'Drama', 'Romance Film', 'Teen']",tt0114011,6.8,33172.0,Christina Ricci,Demi Moore,71939899.62452775
2243660,/m/06yr6d,d.c. cab,1983-12-16,16134627.0,100.0,['English'],['United States of America'],"['Action/Adventure', 'Action', 'Comedy', 'Workplace Comedy']",tt0085387,5.5,5359.0,Max Gail,Adam Baldwin,49898301.35417385
3450583,/m/09d3b7,a star is born,1976-12-17,80000000.0,139.0,['English'],['United States of America'],"['Romance Film', 'Musical', 'Drama', 'Indie', 'Romantic drama']",tt0075265,6.1,13605.0,Barbra Streisand,Kris Kristofferson,429862648.32588714
532618,/m/02mc5v,scary movie 2,2001-07-04,141220678.0,89.0,['English'],"['United States of America', 'Canada']","['Parody', 'Horror', 'Gross-out film', 'Horror Comedy', 'Comedy', 'Gross out', 'Teen', 'Haunted House Film']",tt0257106,5.4,179206.0,Anna Faris,Marlon Wayans,234184075.91240156
26514248,/m/0bh8g44,the house on carroll street,1988-03-04,459824.0,101.0,['English'],['United States of America'],"['Thriller', 'Period piece', 'Drama', 'Suspense', 'Political thriller', 'Romance Film', 'Political drama']",tt0095333,6.1,2866.0,Kelly McGillis,Jeff Daniels,1148841.9667003707
2372994,/m/0779m1,the general's daughter,1999-06-18,149705852.0,116.0,['English'],"['United States of America', 'Germany']","['Crime Fiction', 'Mystery', 'Thriller', 'Drama', 'Crime Thriller']",tt0144214,6.4,64813.0,John Travolta,Madeleine Stowe,260822565.83676714
6954370,/m/0gynbw,the other sister,1999-02-26,27807627.0,129.0,['English'],['United States of America'],"['Romantic comedy', 'Family Drama', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film']",tt0123209,6.4,13201.0,Juliette Lewis,Diane Keaton,48447382.16360282
4179778,/m/0bngmw,heart condition,1990-02-02,4134992.0,100.0,['English'],['United States of America'],"['Buddy film', 'Heavenly Comedy', 'Drama', 'Comedy', 'Fantasy', 'Fantasy Comedy']",tt0099750,5.5,4113.0,Bob Hoskins,Denzel Washington,9415377.577593338
2037403,/m/06gtp2,light of day,1987-02-06,10490000.0,107.0,['English'],['United States of America'],"['Musical', 'Family Drama', 'Drama', 'Musical Drama', 'Indie']",tt0093415,5.6,3334.0,Michael J. Fox,Gena Rowlands,27361798.707412206
